Id|Lemmatized_Text|Category|Category_Predicted|TimeStamp
0|also ronald asmus policy entrepreneur fellow german marshall fund visit fellow centre international study cis university oxford commentary first appear sada online journal publish carnegie endowment international peace|19|19|02/04/21 14:34
1|member aicpa wicpa brent graduate university wisconsin la crosse degree accountancy live southern wisconsin entire life currently reside pardeeville wife sara three child brent sara great appreciation music art theater|9|9|02/04/21 14:34
2|dr aster hold teach research position ben gurion university haifa university hebrew university bar ilan university university pennsylvania also teach jewish study high school unite state israel|19|19|02/04/21 14:35
3|run boutique design studio attend client united state europe asia work explores convergence human art science give shape ever evolve design practice particular commitment towards design education arturo permanently engage international design development community often travel world exchange idea design designer developers prior current venture arturo work microsoft redmond 7 year drive design evangelism|24|24|02/04/21 14:35
4|focus cloud security identity access management mobility security security microsoft platform solution jan base belgium|24|19|02/04/21 14:35
5|author several book include bestselling anxiety phobia workbook reach hundred thousand people throughout world welcome comment feedback sent edbourneglobalshiftnowcom see less|22|22|02/04/21 14:35
6|associate web producer wfiu liz maintain muslim voice twitter facebook well write blog also contribute earth eatsmore post author|6|6|02/04/21 14:35
7|hold journalism master degree roosevelt university currently columnist pro mma wwwprommanowcom news writer adcombatcom official scorer fightmetric richard also publish washington time palm beach post naples daily news michigan chronicle miami herald reach email richardandersonmanngmailcom twitter twittercomrichardamann|6|6|02/04/21 14:35
8|teaching get straight heart tantric buddhism ayurvedic medicine find sanity wisdom within every experience life also know tröma rinpoche buddhist teacher humanitarian author found school yogic buddhism yogic medicine institute|3|3|02/04/21 14:35
9|quip tip refer blog write remedy thewrittenremedyblogspotcom abby reach amackrn23gmailcom twitter abigailmackey rn|14|6|02/04/21 14:35
10|elder united methodist church write lecture widely africanamerican religion treasurer society study black religion expert woman civil right movement write witness testify black woman religion civil right augsburg fortress 2003 contact 4042705527 rrossspelmanedu|19|19|02/04/21 14:35
11|write numerous scholarly article topic concern africanamericans christianity evangelicalism church politics contact 4046514842 office 4046513152 department polacbpanthergsuedu|19|19|02/04/21 14:35
12|expert black pentecostalism ordain minister church god christ member world council church pentecostal joint consultative group contact 2028060753 flwarehowardedu|19|0|02/04/21 14:35
13|write black magic african american religion conjure tradition university california press 2003 nathaniel deutsch black zion african american religion judaism oxford university press 1999 consultant national geographic channel series taboo 200203 contact 6105438041 office 6103288045 department ychirea1swarthmoreedu|19|19|02/04/21 14:35
14|expertise historical evidence africanamerican religious life contact 9199623927 mafflyemailuncedu cheryl kirkduggan write exorcise evil womanist perspective spiritual orbis book 1997 violence theology abingdon 2006 professor theology womens study direct womens study program shaw university divinity school raleigh nc contact 9197165522 ckirkdugganshawuedu|19|19|02/04/21 14:35
15|grow pakistan move united state 2001 syed receive political asylum activism womens right child labor right pakistan wmnf speak afternoon ask reaction todays assassination former pakistani prime minister benazir bhutto|26|26|02/04/21 14:35
16|author three book lead voice global financial literacy movement strategic adviser national financial educator council|6|19|02/04/21 14:35
17|part effs intellectual property team focus substantive patent reform join eff daniel residential fellow stanford law school center internet society represent writer painter filmmaker others rely fair use create art scholarship read daniel nazer publicity right vs public interest fair use project file brief support petition rehear en banc hart v ea|26|26|02/04/21 14:35
18|interest help ethnocultural determinant early child outcome immigrant aboriginal population publish widely fields clinical developmental psychologymore|22|19|02/04/21 14:35
19|host skeptic guide universe weekly science podcast wwwtheskepticsguideorg author neurologica blog wwwthenesscom neurologicablog president new england skeptical society wwwthenesscom|19|19|02/04/21 14:35
20|receive phd george mason university 2003 numerous publication scholarly journal policy paper popular pressallstudiesopedsaffordable housing monterrey countyanalyzing general plan update apply development economics reportbenjamin powell edward stringham adam summersaugust 1 2004huge hidden tax homesinclusionary zone drive pricesbenjamin powell edward stringhamjune 30 2004do affordable housing mandate work evidence los angeles county orange countybenjamin powell edward stringhamjune 1 2004housing supply affordabilitydo affordable housing mandate workbenjamin powell edward stringhamapril 1 2004page 1 1|19|19|02/04/21 14:35
21|prior current research focus understanding origin political interest determinant political knowledge prior come princeton 2003 earn master degree ohio state university phd stanford university prior 2007 book postbroadcast democracy medium choice increase inequality political involvement polarizes election examine politics united state change evolution medium past halfcentury book 2009 goldsmith book prize award harvard university joan shorenstein center|19|19|02/04/21 14:35
