OriginalId|Text|Category|CategoryPredict
0|also ronald asmus policy entrepreneur fellow german marshall fund visit fellow centre international study cis university oxford commentary first appear sada online journal publish carnegie endowment international peace|19|19
1|member aicpa wicpa brent graduate university wisconsin la crosse degree accountancy live southern wisconsin entire life currently reside pardeeville wife sara three child brent sara great appreciation music art theater|9|9
2|dr aster hold teach research position ben gurion university haifa university hebrew university bar ilan university university pennsylvania also teach jewish study high school unite state israel|19|19
3|run boutique design studio attend client united state europe asia work explores convergence human art science give shape ever evolve design practice particular commitment towards design education arturo permanently engage international design development community often travel world exchange idea design designer developers prior current venture arturo work microsoft redmond year drive design evangelism|24|24
4|focus cloud security identity access management mobility security security microsoft platform solution jan base belgium|24|19
5|author several book include bestselling anxiety phobia workbook reach hundred thousand people throughout world welcome comment feedback sent edbourneglobalshiftnowcom see less|22|22
6|associate web producer wfiu liz maintain muslim voice twitter facebook well write blog also contribute earth eatsmore post author|6|6
7|hold journalism master degree roosevelt university currently columnist pro mma wwwprommanowcom news writer adcombatcom official scorer fightmetric richard also publish washington time palm beach post naples daily news michigan chronicle miami herald reach email richardandersonmanngmailcom twitter twittercomrichardamann|6|6
8|teaching get straight heart tantric buddhism ayurvedic medicine find sanity wisdom within every experience life also know tröma rinpoche buddhist teacher humanitarian author found school yogic buddhism yogic medicine institute|3|3
9|quip tip refer blog write remedy thewrittenremedyblogspotcom abby reach amackrngmailcom twitter abigailmackey rn|14|6
10|elder united methodist church write lecture widely africanamerican religion treasurer society study black religion expert woman civil right movement write witness testify black woman religion civil right augsburg fortress contact rrossspelmanedu|19|19
11|write numerous scholarly article topic concern africanamericans christianity evangelicalism church politics contact office department polacbpanthergsuedu|19|19
12|expert black pentecostalism ordain minister church god christ member world council church pentecostal joint consultative group contact flwarehowardedu|19|0
13|write black magic african american religion conjure tradition university california press nathaniel deutsch black zion african american religion judaism oxford university press consultant national geographic channel series taboo contact office department ychireaswarthmoreedu|19|19
14|expertise historical evidence africanamerican religious life contact mafflyemailuncedu cheryl kirkduggan write exorcise evil womanist perspective spiritual orbis book violence theology abingdon professor theology womens study direct womens study program shaw university divinity school raleigh nc contact ckirkdugganshawuedu|19|19
15|grow pakistan move united state syed receive political asylum activism womens right child labor right pakistan wmnf speak afternoon ask reaction todays assassination former pakistani prime minister benazir bhutto|26|26
16|author three book lead voice global financial literacy movement strategic adviser national financial educator council|6|19
17|part effs intellectual property team focus substantive patent reform join eff daniel residential fellow stanford law school center internet society represent writer painter filmmaker others rely fair use create art scholarship read daniel nazer publicity right vs public interest fair use project file brief support petition rehear en banc hart v ea|26|26
18|interest help ethnocultural determinant early child outcome immigrant aboriginal population publish widely fields clinical developmental psychologymore|22|19
19|host skeptic guide universe weekly science podcast wwwtheskepticsguideorg author neurologica blog wwwthenesscom neurologicablog president new england skeptical society wwwthenesscom|19|19
20|receive phd george mason university numerous publication scholarly journal policy paper popular pressallstudiesopedsaffordable housing monterrey countyanalyzing general plan update apply development economics reportbenjamin powell edward stringham adam summersaugust huge hidden tax homesinclusionary zone drive pricesbenjamin powell edward stringhamjune affordable housing mandate work evidence los angeles county orange countybenjamin powell edward stringhamjune housing supply affordabilitydo affordable housing mandate workbenjamin powell edward stringhamapril page|19|19
21|prior current research focus understanding origin political interest determinant political knowledge prior come princeton earn master degree ohio state university phd stanford university prior book postbroadcast democracy medium choice increase inequality political involvement polarizes election examine politics united state change evolution medium past halfcentury book goldsmith book prize award harvard university joan shorenstein center|19|19
22|write international indian environmental law focus climate change deepa also consultant united nation global compact issue corporate voluntarism regulation come united state professor badrinarayana research officer government indiaworld bank environmental capacitybuilding project national law school india university addition research advocacy also trained government official legal professional environmental law also member world conservation union committee environmental law|19|26
23|prior enter academia serve attorney general office home state new jersey represent state department environmental protection thencommissioner current epa administrator lisa jackson tims recent scholarship focus constitutional taking barrier constrain government ability attach condition development permit effort mitigate local environmental infrastructural impact teach course environmental natural resource land use property law well seminar entitle constitutional issue environmental law|19|26
24|he unprepared face judge jury might come go many barrel midnight oil anyone chicago bar sip black coffee last week café across state illinois building work special counsel illinois house speaker michael madigan ellis look exhaust best know successfully prosecute gov rod blagojevich senate impeachment trial early elli spend past week work legal brief theus supreme court defend state redistricting plan may slog another complex case involve medicaid financing|26|26
25|also license counsel psychologist staff community mental health agency clinical work well research focus prepare african american boy live happy successful life reach marc_grimmettncsuedu back printer friendly page|19|19
26|clinical effort focus care head neck cancer patient include patient thyroid parathyroid disorder specific interest hpvrelated head neck cancer patient several ongoing clinical study focus population dr pai graduate summa cum laude dartmouth college subsequently enter mdphd program john hopkins school medicine graduate training focus develop vaccine therapy hpvrelated cancer cervical head neck complete residency otolaryngologyhead neck surgery join faculty john hopkins hospital serf principal investigator hpv vaccine immunomodulatory clinical trial dr pai direct nihfunded research laboratory study biology hpvrelated head neck cancer|19|19
27|hold master science degree computer science california state university san bernardino focus online banking application also bachelor degree wuhan university china xinsheng qa engineer vmware inc later lead team develop four educational computer game escambia county school district florida work geographical information system gi xinsheng rich experience jee technology extensive experience content management system cms include alfreso expert web portal technology xinsheng handson experience eight liferay portal project|24|19
28|founder director child adolescent anxiety program cnmcrelated subjectschild adolescent psychiatry clinical psychologyanxiety child adolescentscognitive behavior therapychild adolescent psychotherapyfamily therapy|19|22
29|correspondent sport magazine foreign affair blogger washington examiner write article news website merinewscom regional publication sumantra run blog dailyworldwatchwordpresscom provide exclusive eyewitness report thelatest mumbai bombing|6|6
30|main interest build scalable software soa data mining mobile work ecommerce application base large jee peertopeer technology past nishant work amazoncom adobe inc also contribute open source project|13|19
31|work appear washington post smithsonian slate u news wire mother jones among publication report new orleans timespicayune share three pulitzer prize also coauthor path destruction devastation new orleans come age superstorms previous article yale environment write environmental threat mountaintop removal mining chance president obama crack practice|6|6
32|huntsman school business utah state university german native earn diploma business administration fachhochschule aachen b finance george mason university fairfax virginia gain experience junior portfolio manager mutual fund management company frankfurt germany dr thomas return george mason university complete phd economics move utah state university fall since primarily teach class international economics|19|19
33|lifelong runner biker swimmer hiker skier snowshoer begin tackle high elevation longer excursion meet nowhusband dj em guide since two year live near philadelphia drive white mountain new hampshire every free weekend finally decide quit respectable job get marry move burlington vt busy summer lindsay write art architecture travel outdoor adventure various newspaper magazine time press nose window look green mountain plan next adventure|6|6
34|book analysis tonal music cowritten allen cadwallader standard text schenkerian theory use university throughout united state europe essay appear music forum schenker study elsewhere prof gagné also teach columbia university mannes college nyu former president music theory society new york state mtsnys|19|19
35|firm practice focus issue relate bankruptcy business law manufacture housing include community subpision prepurchase diligence analysis well advise community owner operational financial enforcement issue firm also represent manufacture home dealer wide range issue david l gibbs admit federal court central southern district california also hold california real estate broker license manufacture home dealer license contractor license firm continue offer wide range real estate business relate service do year office san clemente mr gibbs reach|26|26
36|work observation base focus light see beauty everyday june rachel spent four week hill end draw village intense curiosity fascination life margaret olley connection hill end residence rachel document experience celebratory chocolate cake rich domestic interior haefligers murray cottage|5|20
37|also work musician writer found dangerous intersection erich wife anne jay live shaw neighborhood st louis missouri raise two extraordinary daughter|26|6
38|health care debate dr wolf begin speak obamacare proposal articulate knowledgeable passionate conservative begin get national attention appear outlet include pjtv fox news also become regular columnist washington time|11|6
39|life picturesque market town hertfordshire england passion frugal living upcycling furniture home decor love try new painting product techniques specialises farmhouse shabby chic gustavian style write blog paint style|5|5
40|wife julie member since dwayne also chief instructor faith taekwondo martial art program community center saturday dwayne serf small group leader technology team faith|17|21
41|work firefighter others around madison wisconsin available fire department civic organization athletic team train consult speaking engagement publish numerous article fitness health mindbody connection|4|19
42|m maier see patient dr yehuda ringel supervise physician dr yolanda scarlett unc fgimd clinic two half clinic day week also clinic two half day week see new patient return patient population include motility disorder constipation nausea vomit gastroparesis sibo pelvic floor dyssynergia etc read interprets anorectal manometries hydrogen breath test lactose intolerance small bowel bacterial overgrowth helicobacter pylori breath test unc hospital also involve clinical research dr ringel year|11|19
43|mark postdoc dr warren gish joining celera work genome annotation group lead automate annotation human drosophila genome spent time bdgp mark use bioperl comparative genomics library|19|19
44|trained sport photography wolcott contract photographer national geographic society collaborate dr sylvia earle three marine photography book image appear time mother jones ocean illustrate among others|20|20
45|dr howles research interest include discipline thermal science fluid dynamic nonlinear dynamic create render cetacean flipper study force experience flipper movement currently create model north atlantic right whale use simulate interaction fish gear dr howle receive phd duke university faculty webpagebellequant engineering|19|19
46|area expertise sensory biology shark ray emphasis electrosensory system dr kajiura conduct research various agency include national science foundation department defense national marine fishery service maintain strong public outreach service primarily television documentary appearance elect member american elasmobranch society board director dr kajiura hold phd zoology university hawaiielasmobranch research laboratory nova southeast university oceanographic center|19|19
47|dr harr license clinical social worker several year practice teach experience united state internationally conduct research publish area family mental health compassion fatigue interdisciplinary relationship|19|19
48|author edit coedited several book journal issue gallagher coordinator boston university global development policy program faculty fellow bus frederick pardee center study longerrange future lead global economic governance initiative gallagher also research associate global development environment institute tuft university political economy research institute university massachusetts amherst serve visit adjunct professor fletcher school law diplomacy tuft university harvard universitys kennedy school government el colegio de mexico mexico tsinghua university china|19|19
